,Country,Year,PM2.5,Life Expectancy
894,Germany,2016,12,
895,Germany,2016,13,
896,Germany,2016,16,
897,Germany,2016,12,
898,Germany,2016,11,
899,Germany,2016,12,
900,Germany,2016,12,
901,Germany,2016,15,
902,Germany,2016,13,
903,Germany,2016,12,
904,Germany,2015,8,
905,Germany,2016,11,
906,Germany,2014,10,
907,Germany,2016,8,
908,Germany,2016,13,
909,Germany,2016,15,
910,Germany,2016,11,
911,Germany,2016,15,
912,Germany,2016,8,
913,Germany,2016,13,
914,Germany,2016,11,
915,Germany,2016,11,
916,Germany,2016,12,
917,Germany,2016,12,
918,Germany,2016,11,
919,Germany,2013,15,
920,Germany,2016,12,
921,Germany,2016,11,
922,Germany,2016,13,
923,Germany,2016,13,
924,Germany,2016,10,
925,Germany,2016,14,
926,Germany,2016,11,
927,Germany,2016,10,
928,Germany,2016,12,
929,Germany,2015,15,
930,Germany,2016,12,
931,Germany,2016,11,
932,Germany,2016,10,
933,Denmark,2013,11,
934,Denmark,2016,11,
935,Denmark,2013,11,
936,Denmark,2016,12,
937,Denmark,2016,10,
938,Denmark,2016,9,
939,Ecuador,2017,11,
940,Ecuador,2016,18,
941,Spain,2016,13,
942,Spain,2016,7,
943,Spain,2016,5,
944,Spain,2016,9,
945,Spain,2016,12,
946,Spain,2016,10,
947,Spain,2016,7,
948,Spain,2013,9,
949,Spain,2016,9,
950,Spain,2016,4,
951,Spain,2016,6,
952,Spain,2013,7,
953,Spain,2016,8,
954,Spain,2013,10,
955,Spain,2016,6,
956,Spain,2013,8,
957,Spain,2013,7,
958,Spain,2013,11,
959,Spain,2016,5,
960,Spain,2016,11,
961,Spain,2016,10,
962,Spain,2016,8,
963,Spain,2016,7,
964,Spain,2016,10,
965,Spain,2013,7,
966,Spain,2016,7,
967,Spain,2016,8,
968,Spain,2013,7,
969,Spain,2016,14,
970,Spain,2016,7,
971,Spain,2016,4,
972,Spain,2013,7,
973,Spain,2013,8,
974,Spain,2013,7,
975,Spain,2015,7,
976,Spain,2016,5,
977,Spain,2016,7,
978,Spain,2016,8,
979,Spain,2013,7,
980,Spain,2016,11,
981,Spain,2016,6,
982,Spain,2016,6,
983,Spain,2013,9,
984,Spain,2016,4,
985,Spain,2016,7,
986,Spain,2016,9,
987,Spain,2014,11,
988,Spain,2016,7,
989,Spain,2016,13,
990,Spain,2013,12,
991,Spain,2016,10,
992,Spain,2016,10,
993,Spain,2016,12,
994,Spain,2016,8,
995,Spain,2015,12,
996,Spain,2016,9,
997,Spain,2013,12,
998,Spain,2016,11,
999,Spain,2016,9,
1000,Spain,2016,7,
1001,Spain,2016,6,
